,work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
35,2023,Entry-Level,Full_time,Data Engineer,92700,US,Medium
36,2023,Entry-Level,Full_time,Data Engineer,61800,US,Medium
37,2023,Entry-Level,Full_time,Business Data Analyst,21461,ES,Medium
38,2023,Entry-Level,Full_time,Research Engineer,160000,US,Medium
39,2023,Entry-Level,Full_time,Research Engineer,120000,US,Medium
40,2023,Entry-Level,Full_time,Autonomous Vehicle Technician,7000,GH,Small
41,2023,Entry-Level,Full_time,Applied Machine Learning Scientist,42923,DE,Medium
42,2023,Entry-Level,Full_time,Data Scientist,190000,US,Medium
43,2023,Entry-Level,Full_time,Data Scientist,120000,US,Medium
44,2023,Entry-Level,Full_time,Data Scientist,121093,CH,Large
45,2023,Entry-Level,Full_time,Data Analyst,85000,US,Medium
46,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
47,2023,Entry-Level,Full_time,Data Engineer,92700,US,Medium
48,2023,Entry-Level,Full_time,Data Engineer,61800,US,Medium
49,2023,Entry-Level,Full_time,Data Engineer,62000,US,Medium
50,2023,Entry-Level,Full_time,Data Engineer,58000,US,Medium
51,2023,Entry-Level,Full_time,Data Engineer,125000,US,Medium
52,2023,Entry-Level,Full_time,Data Engineer,90000,US,Medium
53,2023,Entry-Level,Full_time,Data Analyst,95000,US,Medium
54,2023,Entry-Level,Full_time,Data Analyst,70000,US,Medium
55,2023,Entry-Level,Full_time,Data Engineer,115100,US,Medium
56,2023,Entry-Level,Full_time,Data Engineer,73900,US,Medium
57,2023,Entry-Level,Full_time,AI Programmer,70000,AU,Large
58,2023,Entry-Level,Full_time,AI Developer,80000,SE,Medium
59,2023,Entry-Level,Full_time,Research Scientist,150000,US,Medium
60,2023,Entry-Level,Full_time,Research Scientist,100000,US,Medium
61,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
62,2023,Entry-Level,Full_time,Data Analyst,60000,US,Medium
63,2023,Entry-Level,Full_time,Data Engineer,125000,US,Medium
64,2023,Entry-Level,Full_time,Data Engineer,90000,US,Medium
65,2023,Entry-Level,Full_time,AI Developer,214618,DE,Large
66,2023,Entry-Level,Full_time,Data Analyst,100000,US,Large
67,2023,Entry-Level,Full_time,Data Analyst,150000,US,Medium
68,2023,Entry-Level,Full_time,Data Analyst,100000,US,Medium
69,2023,Entry-Level,Full_time,Research Scientist,150000,US,Medium
70,2023,Entry-Level,Full_time,Research Scientist,100000,US,Medium
71,2023,Entry-Level,Full_time,Data Analyst,85000,US,Medium
72,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
73,2023,Entry-Level,Full_time,Data Analyst,30000,IN,Medium
74,2023,Entry-Level,Full_time,Computer Vision Engineer,220000,US,Medium
75,2023,Entry-Level,Full_time,AI Developer,64385,DE,Medium
76,2023,Entry-Level,Full_time,Data Analyst,55000,US,Medium
77,2023,Entry-Level,Full_time,Data Analyst,48000,US,Medium
78,2023,Entry-Level,Part_time,Data Analyst,17779,IN,Large
79,2023,Entry-Level,Full_time,Data Scientist,19522,BR,Large
80,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
81,2023,Entry-Level,Full_time,Data Analyst,60000,US,Medium
82,2023,Entry-Level,Full_time,Research Engineer,120000,GB,Medium
83,2023,Entry-Level,Full_time,Research Engineer,60000,GB,Medium
84,2023,Entry-Level,Full_time,Data Analyst,60000,US,Large
85,2023,Entry-Level,Full_time,Data Analyst,50000,US,Large
86,2023,Entry-Level,Full_time,Data Scientist,9727,IN,Large
87,2023,Entry-Level,Full_time,Data Analyst,85000,US,Medium
88,2023,Entry-Level,Full_time,Data Analyst,75000,US,Medium
89,2023,Entry-Level,Full_time,Data Engineer,12000,VN,Large
90,2023,Entry-Level,Full_time,Data Analyst,55000,US,Medium
91,2023,Entry-Level,Full_time,Data Analyst,48000,US,Medium
92,2023,Entry-Level,Full_time,Data Analyst,100000,US,Medium
93,2023,Entry-Level,Full_time,Data Scientist,110000,US,Small
94,2023,Entry-Level,Full_time,Data Scientist,12767,IN,Large
95,2023,Entry-Level,Full_time,Data Engineer,26827,DE,Large
96,2023,Entry-Level,Full_time,BI Developer,160000,US,Medium
97,2023,Entry-Level,Full_time,BI Developer,100000,US,Medium
98,2023,Entry-Level,Full_time,Big Data Engineer,130000,SE,Small
99,2023,Entry-Level,Full_time,Data Engineer,160000,US,Medium
100,2023,Entry-Level,Full_time,Data Engineer,135000,US,Medium
101,2023,Entry-Level,Full_time,Data Analyst,30000,US,Small
102,2023,Entry-Level,Full_time,Data Scientist,124234,US,Medium
103,2023,Entry-Level,Full_time,Data Scientist,74540,US,Medium
104,2023,Entry-Level,Full_time,Data Scientist,12888,IN,Small
105,2023,Entry-Level,Full_time,AI Developer,120000,BA,Small
106,2023,Entry-Level,Full_time,Business Data Analyst,12877,GR,Large
107,2023,Entry-Level,Full_time,Data Engineer,160000,US,Medium
108,2023,Entry-Level,Full_time,Data Engineer,135000,US,Medium
109,2023,Entry-Level,Full_time,Data Scientist,50000,US,Medium
110,2023,Entry-Level,Full_time,Data Engineer,160000,US,Medium
111,2023,Entry-Level,Full_time,Data Engineer,135000,US,Medium
112,2023,Entry-Level,Full_time,Research Engineer,160000,US,Medium
113,2023,Entry-Level,Full_time,Research Engineer,120000,US,Medium
114,2023,Entry-Level,Full_time,Deep Learning Engineer,150000,US,Medium
115,2023,Entry-Level,Full_time,Deep Learning Engineer,120000,US,Medium
116,2023,Entry-Level,Full_time,Data Engineer,160000,US,Medium
117,2023,Entry-Level,Full_time,Data Engineer,135000,US,Medium
118,2023,Excecutive-Level,Full_time,Data Scientist,258750,US,Medium
119,2023,Excecutive-Level,Full_time,Data Scientist,185000,US,Medium
120,2023,Excecutive-Level,Full_time,Data Engineer,220000,US,Medium
121,2023,Excecutive-Level,Full_time,Data Engineer,205000,US,Medium
122,2023,Excecutive-Level,Full_time,Head of Data,329500,US,Medium
123,2023,Excecutive-Level,Full_time,Head of Data,269600,US,Medium
124,2023,Excecutive-Level,Full_time,Data Engineer,145000,US,Medium
125,2023,Excecutive-Level,Full_time,Data Engineer,115000,US,Medium
126,2023,Excecutive-Level,Full_time,Data Engineer,175000,US,Medium
127,2023,Excecutive-Level,Full_time,Data Engineer,110000,US,Medium
128,2023,Excecutive-Level,Full_time,Analytics Engineer,221000,US,Medium
129,2023,Excecutive-Level,Full_time,Analytics Engineer,153000,US,Medium
130,2023,Excecutive-Level,Full_time,Data Scientist,200000,US,Medium
131,2023,Excecutive-Level,Full_time,Data Scientist,145000,US,Medium
132,2023,Excecutive-Level,Full_time,Data Architect,180000,US,Medium
133,2023,Excecutive-Level,Full_time,Data Architect,155000,US,Medium
134,2023,Excecutive-Level,Full_time,Data Engineer,286000,US,Medium
135,2023,Excecutive-Level,Full_time,Data Engineer,207000,US,Medium
136,2023,Excecutive-Level,Full_time,Director of Data Science,353200,US,Medium
137,2023,Excecutive-Level,Full_time,Director of Data Science,249300,US,Medium
138,2023,Excecutive-Level,Full_time,Data Scientist,145000,US,Medium
139,2023,Excecutive-Level,Full_time,Data Scientist,100000,US,Medium
140,2023,Excecutive-Level,Full_time,Data Engineer,265000,US,Medium
141,2023,Excecutive-Level,Full_time,Data Engineer,235000,US,Medium
142,2023,Excecutive-Level,Full_time,Data Engineer,194500,US,Medium
143,2023,Excecutive-Level,Full_time,Data Engineer,115500,US,Medium
144,2023,Excecutive-Level,Full_time,Data Scientist,200000,US,Medium
145,2023,Excecutive-Level,Full_time,Data Scientist,145000,US,Medium
146,2023,Excecutive-Level,Full_time,Data Engineer,210914,US,Medium
147,2023,Excecutive-Level,Full_time,Data Engineer,116704,US,Medium
148,2023,Excecutive-Level,Full_time,Data Engineer,167500,US,Medium
149,2023,Excecutive-Level,Full_time,Data Engineer,106500,US,Medium
150,2023,Excecutive-Level,Full_time,Data Engineer,310000,US,Medium
151,2023,Excecutive-Level,Full_time,Data Engineer,239000,US,Medium
152,2023,Excecutive-Level,Full_time,Data Engineer,310000,US,Medium
153,2023,Excecutive-Level,Full_time,Data Engineer,239000,US,Medium
154,2023,Excecutive-Level,Full_time,Head of Data Science,160288,GB,Medium
155,2023,Excecutive-Level,Full_time,Head of Data Science,127467,GB,Medium
156,2023,Excecutive-Level,Full_time,Data Engineer,310000,US,Medium
157,2023,Excecutive-Level,Full_time,Data Engineer,239000,US,Medium
158,2023,Excecutive-Level,Full_time,Data Engineer,235000,US,Medium
159,2023,Excecutive-Level,Full_time,Data Engineer,210000,US,Medium
160,2023,Excecutive-Level,Full_time,Data Engineer,210914,US,Medium
161,2023,Excecutive-Level,Full_time,Data Engineer,116704,US,Medium
162,2023,Excecutive-Level,Full_time,Data Engineer,284000,US,Medium
163,2023,Excecutive-Level,Full_time,Data Engineer,236000,US,Medium
164,2023,Excecutive-Level,Full_time,Data Analytics Manager,155000,US,Medium
165,2023,Excecutive-Level,Full_time,Data Analytics Manager,140000,US,Medium
166,2023,Excecutive-Level,Full_time,Data Engineer,175000,US,Medium
167,2023,Excecutive-Level,Full_time,Data Engineer,110000,US,Medium
168,2023,Excecutive-Level,Full_time,Head of Data Science,314100,US,Medium
169,2023,Excecutive-Level,Full_time,Head of Data Science,195800,US,Medium
170,2023,Excecutive-Level,Full_time,Data Engineer,200000,US,Medium
171,2023,Excecutive-Level,Full_time,Data Engineer,145000,US,Medium
172,2023,Excecutive-Level,Full_time,Data Engineer,310000,US,Medium
173,2023,Excecutive-Level,Full_time,Data Engineer,239000,US,Medium
174,2023,Excecutive-Level,Full_time,Data Scientist,300000,US,Medium
175,2023,Excecutive-Level,Full_time,Data Scientist,200000,US,Medium
176,2023,Excecutive-Level,Full_time,Data Engineer,196200,US,Medium
177,2023,Excecutive-Level,Full_time,Data Engineer,150900,US,Medium
178,2023,Mid-Level,Contract,ML Engineer,30000,US,Small
179,2023,Mid-Level,Contract,ML Engineer,25500,US,Small
180,2023,Mid-Level,Full_time,Data Analyst,150000,US,Medium
181,2023,Mid-Level,Full_time,Data Analyst,110000,US,Medium
182,2023,Mid-Level,Full_time,Data Engineer,162500,US,Medium
183,2023,Mid-Level,Full_time,Data Engineer,130000,US,Medium
184,2023,Mid-Level,Full_time,Data Analyst,105380,US,Medium
185,2023,Mid-Level,Full_time,Data Analyst,64500,US,Medium
186,2023,Mid-Level,Full_time,Data Scientist,65062,HK,Large
187,2023,Mid-Level,Full_time,Applied Machine Learning Engineer,69751,DE,Small
188,2023,Mid-Level,Full_time,Machine Learning Engineer,96578,NL,Large
189,2023,Mid-Level,Full_time,Data Analytics Manager,155000,US,Medium
190,2023,Mid-Level,Full_time,Data Analytics Manager,140000,US,Medium
191,2023,Mid-Level,Full_time,Data Engineer,100000,US,Medium
192,2023,Mid-Level,Full_time,Data Engineer,70000,US,Medium
193,2023,Mid-Level,Full_time,Data Engineer,100000,US,Medium
194,2023,Mid-Level,Full_time,Data Engineer,70000,US,Medium
195,2023,Mid-Level,Full_time,Business Data Analyst,105000,US,Large
196,2023,Mid-Level,Full_time,Applied Data Scientist,20670,IN,Large
197,2023,Mid-Level,Full_time,Data Analyst,46178,GB,Medium
198,2023,Mid-Level,Full_time,Data Analyst,42533,GB,Medium
199,2023,Mid-Level,Full_time,Data Engineer,162500,US,Medium
200,2023,Mid-Level,Full_time,Data Engineer,130000,US,Medium
201,2023,Mid-Level,Full_time,Data Scientist,66837,GB,Medium
202,2023,Mid-Level,Full_time,Data Scientist,54685,GB,Medium
203,2023,Mid-Level,Full_time,ETL Engineer,85066,GB,Medium
204,2023,Mid-Level,Full_time,ETL Engineer,57723,GB,Medium
205,2023,Mid-Level,Full_time,Machine Learning Engineer,300000,US,Medium
206,2023,Mid-Level,Full_time,Machine Learning Engineer,250000,US,Medium
207,2023,Mid-Level,Full_time,Research Engineer,230000,US,Medium
208,2023,Mid-Level,Full_time,Research Engineer,200000,US,Medium
209,2023,Mid-Level,Full_time,Data Engineer,180000,US,Medium
210,2023,Mid-Level,Full_time,Data Engineer,130000,US,Medium
211,2023,Mid-Level,Full_time,AI Developer,75020,FI,Medium
212,2023,Mid-Level,Full_time,AI Developer,200000,US,Medium
213,2023,Mid-Level,Full_time,Machine Learning Engineer,280700,US,Medium
214,2023,Mid-Level,Full_time,Machine Learning Engineer,150450,US,Medium
215,2023,Mid-Level,Full_time,Data Scientist,93918,US,Medium
216,2023,Mid-Level,Full_time,Data Scientist,51962,US,Medium
217,2023,Mid-Level,Full_time,Big Data Engineer,48289,ES,Medium
218,2023,Mid-Level,Full_time,Data Analyst,90000,US,Medium
219,2023,Mid-Level,Full_time,Data Analyst,75000,US,Medium
220,2023,Mid-Level,Full_time,Research Scientist,195895,GB,Medium
221,2023,Mid-Level,Full_time,Research Scientist,102772,GB,Medium
222,2023,Mid-Level,Full_time,Data Specialist,130000,US,Medium
223,2023,Mid-Level,Full_time,Data Specialist,80000,US,Medium
224,2023,Mid-Level,Full_time,Data Scientist,180000,US,Medium
225,2023,Mid-Level,Full_time,Data Scientist,140000,US,Medium
226,2023,Mid-Level,Full_time,Lead Data Analyst,68000,US,Large
227,2023,Mid-Level,Full_time,Data Engineer,125000,US,Medium
228,2023,Mid-Level,Full_time,Data Engineer,90000,US,Medium
229,2023,Mid-Level,Full_time,Data Manager,135000,US,Medium
230,2023,Mid-Level,Full_time,Data Manager,120000,US,Medium
231,2023,Mid-Level,Full_time,Data Analyst,182500,US,Medium
232,2023,Mid-Level,Full_time,Data Analyst,121500,US,Medium
233,2023,Mid-Level,Full_time,Data Analyst,72914,GB,Medium
234,2023,Mid-Level,Full_time,Data Analyst,121500,US,Medium
235,2023,Mid-Level,Full_time,Data Analyst,72914,GB,Medium
236,2023,Mid-Level,Full_time,Data Analyst,54685,GB,Medium
237,2023,Mid-Level,Full_time,Data Architect,167500,US,Medium
238,2023,Mid-Level,Full_time,Data Architect,106500,US,Medium
239,2023,Mid-Level,Full_time,Data Engineer,146000,US,Medium
240,2023,Mid-Level,Full_time,Data Engineer,75000,US,Medium
241,2023,Mid-Level,Full_time,Machine Learning Scientist,230000,US,Medium
242,2023,Mid-Level,Full_time,Machine Learning Scientist,220000,US,Medium
243,2023,Mid-Level,Full_time,Research Scientist,210000,US,Medium
244,2023,Mid-Level,Full_time,Research Scientist,151800,US,Medium
245,2023,Mid-Level,Full_time,MLOps Engineer,135000,US,Large
246,2023,Mid-Level,Full_time,MLOps Engineer,104000,US,Large
247,2023,Mid-Level,Full_time,MLOps Engineer,134000,US,Medium
248,2023,Mid-Level,Full_time,MLOps Engineer,124000,US,Medium
249,2023,Mid-Level,Full_time,Data Architect,167500,US,Medium
250,2023,Mid-Level,Full_time,Data Architect,106500,US,Medium
251,2023,Mid-Level,Full_time,Machine Learning Engineer,135000,US,Large
252,2023,Mid-Level,Full_time,Data Engineer,143865,US,Medium
253,2023,Mid-Level,Full_time,Data Engineer,115092,US,Medium
254,2023,Mid-Level,Full_time,Machine Learning Engineer,130000,US,Medium
255,2023,Mid-Level,Full_time,Machine Learning Engineer,90000,US,Medium
256,2023,Mid-Level,Full_time,Data Engineer,149600,US,Medium
257,2023,Mid-Level,Full_time,Data Engineer,102000,US,Medium
258,2023,Mid-Level,Full_time,Data Scientist,96578,IE,Medium
259,2023,Mid-Level,Full_time,Data Scientist,80481,IE,Medium
260,2023,Mid-Level,Full_time,Data Analyst,128000,US,Medium
261,2023,Mid-Level,Full_time,Data Analyst,85000,US,Medium
262,2023,Mid-Level,Full_time,Data Engineer,151000,US,Medium
263,2023,Mid-Level,Full_time,Data Engineer,140000,US,Medium
264,2023,Mid-Level,Full_time,Data Analyst,154000,US,Medium
265,2023,Mid-Level,Full_time,Data Analyst,143000,US,Medium
266,2023,Mid-Level,Full_time,Data Scientist,78990,GB,Medium
267,2023,Mid-Level,Full_time,Data Scientist,51039,GB,Medium
268,2023,Mid-Level,Full_time,Data Scientist,85066,GB,Medium
269,2023,Mid-Level,Full_time,Data Scientist,51039,GB,Medium
270,2023,Mid-Level,Full_time,Data Scientist,109371,GB,Medium
271,2023,Mid-Level,Full_time,Data Scientist,72914,GB,Medium
272,2023,Mid-Level,Full_time,Data Engineer,75000,US,Medium
273,2023,Mid-Level,Full_time,Data Engineer,60400,US,Medium
274,2023,Mid-Level,Full_time,Data Scientist,60093,DE,Medium
275,2023,Mid-Level,Full_time,Data Analyst,83500,US,Medium
276,2023,Mid-Level,Full_time,Data Analyst,52500,US,Medium
277,2023,Mid-Level,Full_time,Data Engineer,90000,US,Medium
278,2023,Mid-Level,Full_time,Data Engineer,90000,US,Medium
279,2023,Mid-Level,Full_time,Data Engineer,145000,US,Medium
280,2023,Mid-Level,Full_time,Data Engineer,120000,US,Medium
281,2023,Mid-Level,Full_time,Data Analyst,206000,US,Medium
282,2023,Mid-Level,Full_time,Data Analyst,130000,US,Medium
283,2023,Mid-Level,Full_time,Data Analyst,160000,US,Medium
284,2023,Mid-Level,Full_time,Data Analyst,112000,US,Medium
285,2023,Mid-Level,Full_time,Data Engineer,162500,US,Medium
286,2023,Mid-Level,Full_time,Data Engineer,130000,US,Medium
287,2023,Mid-Level,Full_time,Data Scientist,145000,US,Medium
288,2023,Mid-Level,Full_time,Data Scientist,100000,US,Medium
289,2023,Mid-Level,Full_time,Data Scientist,145000,US,Medium
290,2023,Mid-Level,Full_time,Data Scientist,100000,US,Medium
291,2023,Mid-Level,Full_time,Data Analyst,100000,US,Medium
292,2023,Mid-Level,Full_time,Data Analyst,85000,US,Medium
293,2023,Mid-Level,Full_time,Data Engineer,85066,GB,Medium
294,2023,Mid-Level,Full_time,Data Engineer,57723,GB,Medium
295,2023,Mid-Level,Full_time,Data Engineer,140000,US,Medium
296,2023,Mid-Level,Full_time,Data Engineer,95000,US,Medium
297,2023,Mid-Level,Full_time,Financial Data Analyst,130000,US,Large
298,2023,Mid-Level,Full_time,Data Analyst,75000,US,Medium
299,2023,Mid-Level,Full_time,Data Analyst,65000,US,Medium
300,2023,Mid-Level,Full_time,ML Engineer,160000,US,Medium
301,2023,Mid-Level,Full_time,ML Engineer,147000,US,Medium
302,2023,Mid-Level,Full_time,Software Data Engineer,75020,SG,Large
303,2023,Mid-Level,Full_time,Data Scientist,17022,IN,Large
304,2023,Mid-Level,Full_time,Lead Data Analyst,18238,IN,Large
305,2023,Mid-Level,Full_time,Machine Learning Engineer,250000,US,Medium
306,2023,Mid-Level,Full_time,Machine Learning Engineer,150000,US,Medium
307,2023,Mid-Level,Full_time,Analytics Engineer,185700,US,Medium
308,2023,Mid-Level,Full_time,Analytics Engineer,165000,US,Medium
309,2023,Mid-Level,Full_time,Data Scientist,59020,ES,Medium
310,2023,Mid-Level,Full_time,Data Scientist,48289,ES,Medium
311,2023,Mid-Level,Full_time,Data Engineer,75116,SI,Medium
312,2023,Mid-Level,Full_time,Data Engineer,48289,SI,Medium
313,2023,Mid-Level,Full_time,Data Scientist,128750,US,Medium
314,2023,Mid-Level,Full_time,Data Scientist,106250,US,Medium
315,2023,Mid-Level,Full_time,Data Analytics Manager,155000,US,Medium
316,2023,Mid-Level,Full_time,Data Analytics Manager,140000,US,Medium
317,2023,Mid-Level,Full_time,Data Analyst,130000,CA,Medium
318,2023,Mid-Level,Full_time,Data Analyst,100000,CA,Medium
319,2023,Mid-Level,Full_time,Data Science Manager,104500,US,Medium
320,2023,Mid-Level,Full_time,Data Science Manager,70000,US,Medium
321,2023,Mid-Level,Full_time,Data Science Consultant,90000,US,Medium
322,2023,Mid-Level,Full_time,Data Science Consultant,70000,US,Medium
323,2023,Mid-Level,Full_time,Research Scientist,185000,US,Medium
324,2023,Mid-Level,Full_time,Research Scientist,125000,US,Medium
325,2023,Mid-Level,Full_time,Data Scientist,200000,US,Medium
326,2023,Mid-Level,Full_time,Data Scientist,150000,US,Medium
327,2023,Mid-Level,Full_time,Data Engineer,72000,MX,Medium
328,2023,Mid-Level,Full_time,Data Engineer,60000,MX,Medium
329,2023,Mid-Level,Full_time,Data Engineer,260000,US,Medium
330,2023,Mid-Level,Full_time,Data Engineer,175000,US,Medium
331,2023,Mid-Level,Full_time,Research Scientist,340000,US,Medium
332,2023,Mid-Level,Full_time,Research Scientist,150000,US,Medium
333,2023,Mid-Level,Full_time,Data Engineer,250000,US,Medium
334,2023,Mid-Level,Full_time,Data Engineer,175000,US,Medium
335,2023,Mid-Level,Full_time,Data Scientist,64385,FR,Medium
336,2023,Mid-Level,Full_time,Data Engineer,146000,US,Medium
337,2023,Mid-Level,Full_time,Data Engineer,75000,US,Medium
338,2023,Mid-Level,Full_time,Data Engineer,149600,US,Medium
339,2023,Mid-Level,Full_time,Data Engineer,102000,US,Medium
340,2023,Mid-Level,Full_time,Data Analyst,97218,GB,Medium
341,2023,Mid-Level,Full_time,Data Analyst,48609,GB,Medium
342,2023,Mid-Level,Full_time,Data Engineer,145000,US,Medium
343,2023,Mid-Level,Full_time,Data Engineer,125000,US,Medium
344,2023,Mid-Level,Full_time,Data Scientist,150000,US,Medium
345,2023,Mid-Level,Full_time,Data Scientist,97750,US,Medium
346,2023,Mid-Level,Full_time,Data Scientist,116990,US,Medium
347,2023,Mid-Level,Full_time,Data Scientist,82920,US,Medium
348,2023,Mid-Level,Full_time,Machine Learning Scientist,200000,US,Small
349,2023,Mid-Level,Full_time,Machine Learning Scientist,125000,US,Small
350,2023,Mid-Level,Full_time,Machine Learning Infrastructure Engineer,205920,US,Medium
351,2023,Mid-Level,Full_time,Machine Learning Infrastructure Engineer,171600,US,Medium
352,2023,Mid-Level,Full_time,Data Engineer,154000,US,Medium
353,2023,Mid-Level,Full_time,Data Engineer,116000,US,Medium
354,2023,Mid-Level,Full_time,Data Analyst,78990,GB,Medium
355,2023,Mid-Level,Full_time,Data Analyst,43809,GB,Medium
356,2023,Mid-Level,Full_time,Data Engineer,200000,US,Medium
357,2023,Mid-Level,Full_time,Data Engineer,120000,US,Medium
358,2023,Mid-Level,Full_time,Data Engineer,127599,GB,Medium
359,2023,Mid-Level,Full_time,Data Engineer,103294,GB,Medium
360,2023,Mid-Level,Full_time,Data Analytics Manager,155000,US,Medium
361,2023,Mid-Level,Full_time,Data Analytics Manager,140000,US,Medium
362,2023,Mid-Level,Full_time,Research Scientist,185000,US,Medium
363,2023,Mid-Level,Full_time,Research Scientist,125000,US,Medium
364,2023,Mid-Level,Full_time,Machine Learning Engineer,200000,US,Medium
365,2023,Mid-Level,Full_time,Machine Learning Engineer,175000,US,Medium
366,2023,Mid-Level,Full_time,Data Scientist,40000,FR,Large
367,2023,Mid-Level,Full_time,Data Engineer,140000,US,Medium
368,2023,Mid-Level,Full_time,Data Engineer,100000,US,Medium
369,2023,Mid-Level,Full_time,Insight Analyst,51039,GB,Medium
370,2023,Mid-Level,Full_time,Insight Analyst,42533,GB,Medium
371,2023,Mid-Level,Full_time,Applied Machine Learning Engineer,130000,US,Medium
372,2023,Mid-Level,Full_time,AI Scientist,38631,ES,Large
373,2023,Mid-Level,Full_time,Deep Learning Engineer,150000,US,Medium
374,2023,Mid-Level,Full_time,Deep Learning Engineer,100000,US,Medium
375,2023,Mid-Level,Full_time,Data Engineer,115447,GB,Large
376,2023,Mid-Level,Full_time,Data Infrastructure Engineer,190000,US,Medium
377,2023,Mid-Level,Full_time,Data Infrastructure Engineer,160000,US,Medium
378,2023,Mid-Level,Full_time,Data Infrastructure Engineer,190000,US,Medium
379,2023,Mid-Level,Full_time,Data Infrastructure Engineer,183310,US,Medium
380,2023,Mid-Level,Full_time,Machine Learning Engineer,148500,US,Medium
381,2023,Mid-Level,Full_time,Machine Learning Engineer,126277,US,Medium
382,2023,Mid-Level,Full_time,Data Analyst,80000,US,Medium
383,2023,Mid-Level,Full_time,Data Analyst,60000,US,Medium
384,2023,Mid-Level,Full_time,Data Engineer,140000,US,Medium
385,2023,Mid-Level,Full_time,Data Engineer,120000,US,Medium
386,2023,Mid-Level,Full_time,Data Analyst,109371,HR,Medium
387,2023,Mid-Level,Full_time,Data Analyst,72914,HR,Medium
388,2023,Mid-Level,Full_time,Data Engineer,125000,US,Medium
389,2023,Mid-Level,Full_time,Data Engineer,90000,US,Medium
390,2023,Mid-Level,Full_time,Data Engineer,120000,US,Medium
391,2023,Mid-Level,Full_time,Data Engineer,90000,US,Medium
392,2023,Mid-Level,Full_time,Data Science Lead,72914,GB,Medium
393,2023,Mid-Level,Full_time,Data Science Lead,60761,GB,Medium
394,2023,Mid-Level,Full_time,Machine Learning Engineer,48609,GB,Medium
395,2023,Mid-Level,Full_time,Data Analyst,165000,US,Medium
396,2023,Mid-Level,Full_time,Data Analyst,124000,US,Medium
397,2023,Mid-Level,Full_time,Data Scientist,170000,US,Medium
398,2023,Mid-Level,Full_time,Data Scientist,120000,US,Medium
399,2023,Mid-Level,Full_time,Product Data Analyst,16414,IN,Large
400,2023,Mid-Level,Full_time,Data Analyst,125000,US,Medium
401,2023,Mid-Level,Full_time,Data Analyst,105000,US,Medium
402,2023,Mid-Level,Full_time,Data Analyst,109371,GB,Medium
403,2023,Mid-Level,Full_time,Data Analyst,85066,GB,Medium
404,2023,Mid-Level,Full_time,Data Analyst,110000,US,Medium
405,2023,Mid-Level,Full_time,Data Analyst,95000,US,Medium
406,2023,Mid-Level,Full_time,Machine Learning Engineer,36000,MX,Small
407,2023,Mid-Level,Full_time,Machine Learning Engineer,121523,GB,Medium
408,2023,Mid-Level,Full_time,Machine Learning Engineer,97218,GB,Medium
